"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","16","","3","0","","0"
"0","Testes de Exemplo","0","Navegação Básica","1","0","Carregamento da página","0"
"0","Funcionalidade de Login","1","Realizar Login no Sistema Único","0","0","Login Bem-sucedido","0"
"0","Documento","1","Incluir Documento","0","0","Incluir Documento Campos Obrigatórios","0"
"0","Funcionalidade de Login","1","Realizar Login no Sistema Único","0","0","Login com Campo Obrigatório Vazio","0"
"0","Testes de Exemplo","0","Navegação Básica","1","0","Funcionalidade de Pesquisa","0"
"0","Testes de Exemplo","0","Navegação Básica","1","0","Funcionalidades Avançadas","0"
